Listening for gaze data, press any key to exit...
1221,2, 265,2
1223,9, 263,0
1227,2, 256,2
1227,5, 255,4
1228,1, 260,4
1228,6, 264,6
1230,8, 270,1
1218,7, 264,3
1218,8, 262,1
1216,1, 262,5
1221,8, 269,2
1227,8, 272,2
1229,4, 278,5
1137,1, 260,8
1165,4, 262,8
1153,9, 261,5
1178,5, 255,7
1221,6, 254,7
1221,9, 255,5
1219,1, 257,3
1218,5, 257,0
1215,3, 260,6
1217,4, 259,8
1216,9, 260,3
1217,2, 257,1
1219,4, 250,0
1220,4, 248,6
1221,0, 248,0
1215,9, 241,5
1209,1, 236,2
1193,0, 227,4
1192,5, 231,2
1188,3, 227,8
1184,3, 224,1
566,9, 13,4
529,4, 2,3
494,7, 35,7
517,6, 60,5
601,3, 140,9
897,6, 385,4
937,7, 427,3
1027,2, 529,4
1204,6, 749,8
1232,2, 781,0
1392,3, 974,6
1478,8, 1085,7
1490,7, 1108,9
1496,0, 1140,3
1496,9, 1143,9
1496,4, 1135,4
1499,1, 1141,9
1499,1, 1143,4
1498,6, 1135,0
1494,6, 1123,2
1492,6, 1124,7
1503,0, 1139,1
1499,0, 1139,4
1476,5, 1136,4
1429,2, 1201,6
1399,2, 1241,3
1211,7, 1513,7
854,4, 2084,5
851,4, 2074,0
736,3, 2283,6
734,5, 2309,5
780,5, 2222,1
754,2, 2290,0
701,8, 2378,9
708,0, 2373,1
713,8, 2389,4
704,4, 2415,1
706,1, 2424,1
719,1, 2415,6
717,4, 2381,6
716,1, 2378,8
716,8, 2370,0
712,4, 2349,2
716,1, 2360,7
711,0, 2318,9
717,3, 2280,6
702,9, 2281,3
686,3, 2294,6
669,4, 2293,7
683,6, 2325,5
688,3, 2281,8
669,6, 2269,7
225,1, -29,4
245,6, -27,4
249,7, -39,1
260,1, -26,9
265,3, -13,0
411,1, 189,3
394,0, 188,2
357,9, 171,6
321,3, 129,5
289,4, 95,5
279,0, 81,9
230,6, -41,6
208,6, -67,5
208,6, -67,5
223,9, -184,0
222,8, -190,7
208,6, -225,7
210,9, -230,5
212,6, -232,5
316,1, -206,2
316,1, -206,2
46,1, -213,6
-104,8, -231,7
-27,7, -210,4
-112,8, -241,6
7,0, -238,3
40,8, -207,6
261,3, 62,3
293,5, 108,1
246,5, 64,6
250,4, 78,2
296,6, 118,5
287,7, 109,2
538,4, 407,8
603,8, 469,6
758,5, 641,7
772,3, 650,8
811,9, 700,7
770,8, 685,6
754,9, 681,1
644,5, 576,4
649,1, 574,0
640,7, 566,9
621,9, 480,7
655,4, 492,1
700,1, 504,6
764,7, 537,2
818,3, 562,4
929,1, 612,5
1012,0, 658,3
1009,7, 655,0
1003,5, 647,3
1036,8, 648,0
1060,8, 647,3
1283,9, 636,6
1393,0, 629,0
1468,6, 607,3
1565,9, 585,6
1972,1, 492,0
1893,4, 508,1
1898,8, 505,0
2063,1, 458,0
2073,3, 445,7
2078,4, 437,3
2085,5, 420,0
2089,6, 413,8
2097,1, 414,2
2121,1, 408,4
2107,5, 398,3
2108,8, 405,2
2150,3, 391,8
2557,8, 246,5
2565,6, 245,5
2606,7, 308,9
2604,7, 372,1
2712,7, 363,1
2738,7, 358,3
2700,5, 320,0
2703,0, 296,1
2721,9, 296,5
2727,4, 312,9
2694,7, 281,3
2695,9, 286,5
2762,9, 314,2
2774,4, 333,3
2789,1, 321,8
2784,2, 324,8
2803,6, 312,8
2792,7, 312,2
2820,8, 297,5
2796,8, 302,3
2803,2, 277,0
2804,0, 276,4
2811,4, 271,9
2838,0, 257,9
2827,7, 257,5
2747,2, 182,7
2701,0, 157,0
2743,0, 198,1
2746,3, 205,8
2773,3, 269,4
2749,9, 245,5
2758,4, 267,6
2799,5, 306,3
2831,9, 295,7
2795,3, 303,7
2804,3, 301,9
2805,5, 298,7
2812,6, 301,7
2813,6, 301,4
2819,0, 307,8
2830,1, 294,4
2814,6, 295,3
2793,4, 213,2
2840,5, 1085,9
1987,5, 1242,3
726,4, 924,7
584,4, 744,0
379,1, 490,8
330,1, 436,7
259,3, 380,6
241,3, 365,6
262,7, 386,7
241,6, 366,3
329,2, 452,3
363,7, 484,8
394,9, 506,9
395,3, 505,7
392,4, 503,3
400,3, 506,2
411,1, 501,8
411,5, 508,6
418,2, 531,5
418,3, 533,6
508,6, 592,1
698,7, 766,8
947,3, 1009,5
949,2, 1007,7
