Listening for gaze data, press any key to exit...
320,0, 170,7
320,7, 176,1
331,4, 196,3
312,3, 282,0
332,6, 287,3
372,2, 308,5
374,5, 323,8
439,6, 371,9
449,0, 384,0
441,5, 388,4
445,7, 390,5
471,9, 399,8
463,6, 395,3
476,3, 398,8
468,6, 397,3
462,9, 400,1
470,0, 407,6
524,7, 449,2
486,7, 444,9
511,0, 451,6
495,8, 461,9
485,3, 450,1
512,4, 489,2
497,2, 490,0
488,7, 485,8
444,1, 458,5
440,7, 457,7
497,8, 489,0
448,2, 470,8
474,0, 502,2
503,1, 498,4
485,6, 489,8
465,4, 470,4
453,2, 470,6
455,2, 460,6
475,3, 478,3
513,4, 524,2
510,6, 520,9
509,4, 521,9
513,6, 531,2
502,0, 517,1
479,6, 489,8
477,6, 486,6
489,8, 501,4
491,5, 498,3
478,0, 480,3
472,3, 475,3
455,6, 456,7
465,9, 467,0
454,6, 472,9
538,3, 529,8
838,0, 844,4
817,7, 819,3
881,5, 909,0
966,8, 1072,8
1557,8, 2928,4
1563,4, 2914,6
1575,0, 2916,2
1570,7, 2917,5
1574,4, 2949,5
1578,7, 2938,1
1578,9, 3077,0
1570,0, 3086,1
841,0, 1539,0
763,3, 1405,2
574,2, 1133,2
565,3, 1100,1
226,0, 695,3
251,7, 689,3
262,3, 669,2
238,1, 581,2
251,0, 565,2
231,3, 549,0
228,7, 549,4
244,5, 566,5
316,6, 586,0
329,2, 591,4
307,2, 593,1
256,2, 561,3
261,8, 561,7
255,9, 555,8
241,8, 549,6
239,8, 553,3
329,9, 602,1
310,1, 592,6
323,3, 611,8
330,9, 616,4
346,0, 623,1
336,7, 618,9
376,3, 642,5
469,6, 700,1
580,5, 768,8
765,8, 945,3
874,5, 1060,5
995,5, 1181,2
1236,2, 1450,9
1561,6, 1854,7
1534,8, 1785,5
2471,4, 2820,7
2420,7, 2791,3
2362,0, 2738,3
2352,0, 2720,6
2345,8, 2710,4
2301,7, 2689,3
2302,0, 2673,1
2302,3, 2672,6
2280,6, 2670,9
2315,2, 2692,6
2362,3, 2720,3
2461,7, 2802,6
2459,9, 2794,2
2478,3, 2809,9
2478,9, 2835,0
2496,9, 2841,7
2456,6, 2837,1
2466,7, 2834,6
2454,7, 2848,9
2512,4, 2970,2
2547,6, 3026,9
2362,8, 2799,1
802,1, 1084,8
-44,6, 552,5
-227,0, 423,6
-204,5, 442,7
-203,1, 422,1
-168,2, 453,5
-156,7, 458,2
-138,3, 455,1
-211,0, 385,0
-200,3, 394,6
-190,8, 399,6
-73,4, 461,6
-38,9, 484,2
-119,5, 525,1
-119,1, 527,8
-105,2, 526,2
-222,6, 527,1
-271,2, 522,1
-286,9, 515,6
-289,9, 524,6
-291,0, 515,3
-291,2, 514,3
227,1, 601,3
163,7, 542,6
258,3, 475,5
280,0, 471,8
299,0, 481,2
356,2, 519,7
396,7, 536,2
392,9, 526,4
403,5, 534,9
345,3, 489,6
329,2, 477,7
324,0, 471,8
320,5, 464,1
333,5, 448,2
360,1, 490,1
363,1, 493,5
399,1, 514,3
416,6, 527,2
412,9, 523,6
471,5, 581,9
448,3, 563,5
456,4, 560,0
460,9, 561,3
466,1, 558,2
468,7, 555,3
469,0, 554,5
456,5, 552,3
462,4, 554,6
460,1, 550,4
422,8, 530,8
426,7, 531,2
423,1, 520,7
420,2, 517,0
423,8, 519,8
424,3, 528,8
424,9, 528,3
425,4, 523,3
437,4, 542,4
431,3, 532,4
434,8, 534,7
445,0, 534,2
466,2, 546,1
468,4, 547,4
474,6, 551,1
476,3, 558,3
475,5, 560,0
456,6, 564,3
231,3, 604,0
-142,2, 613,6
-545,9, 603,3
-548,7, 606,9
-534,9, 591,7
-555,6, 584,3
-567,7, 588,1
-556,5, 571,8
-551,7, 564,0
-549,9, 565,7
-546,1, 554,6
-568,6, 460,6
-349,5, 330,9
-368,4, 298,1
-369,7, 293,2
-405,2, 258,5
-687,2, 213,4
-687,6, 178,4
-687,6, 178,4
-687,6, 178,4
-687,6, 178,4
-15,7, 538,5
80,2, 606,1
263,7, 706,0
442,0, 813,5
694,7, 1015,4
940,0, 1262,1
1098,9, 1438,5
1231,9, 1572,3
1442,5, 1755,2
1719,0, 2089,3
1712,8, 2231,0
2319,9, 2656,9
2348,5, 2665,3
2402,1, 2714,6
2405,5, 2719,5
2425,8, 2755,5
2462,0, 2834,4
2469,1, 2866,7
2471,6, 2879,6
2070,0, 2686,3
2053,6, 2680,2
1856,2, 2569,6
1899,4, 2601,4
2421,1, 2879,1
2381,8, 2757,1
2310,6, 2616,7
1728,1, 1789,3
1352,2, 1277,0
1213,4, 1093,6
500,7, 248,7
456,2, 219,5
287,0, 129,5
245,7, 110,1
261,0, 129,7
358,7, 221,5
229,2, 147,0
242,2, 164,4
289,2, 207,7
273,5, 200,8
305,3, 235,7
324,1, 260,3
332,9, 313,8
334,0, 326,2
275,1, 326,6
-143,3, 348,0
-209,6, 355,1
-206,4, 373,9
-212,0, 354,0
-248,2, 329,9
-202,1, 360,1
-164,9, 369,5
-158,0, 367,9
518,8, 384,9
716,4, 373,6
773,6, 369,8
745,3, 371,3
905,8, 358,2
1373,9, 320,4
1410,5, 313,5
1450,1, 305,8
1457,0, 292,0
1483,7, 256,3
1437,3, 218,0
1442,2, 214,2
1446,2, 209,7
1436,5, 177,9
1419,0, 102,0
1412,3, 87,3
1385,7, 59,3
1320,8, 12,6
1296,1, 3,6
1196,9, -43,2
1083,8, -71,1
607,9, -190,5
525,8, -211,4
423,6, -245,9
418,6, -248,0
405,8, -270,0
404,9, -264,9
398,7, -271,7
396,9, -270,4
185,5, -278,0
185,5, -278,0
206,1, -226,5
233,7, -213,9
246,2, -222,2
233,4, -210,5
262,7, -218,2
395,1, -209,7
581,0, -205,7
630,5, -197,6
635,3, -198,7
796,3, -152,9
918,4, -122,8
941,9, -145,1
980,7, -119,8
1056,8, -165,6
1062,8, -136,9
1094,6, -186,8
1104,6, -209,7
1139,5, -207,1
1157,6, -197,6
1186,9, -187,6
1221,8, -188,2
1246,4, -180,3
1241,9, -168,9
1246,9, -165,7
1257,6, -175,6
1399,3, -140,1
1384,0, -133,6
1386,7, -128,0
1417,0, -125,5
1415,2, -127,7
1471,7, -146,1
1514,2, -149,8
1517,7, -139,0
1575,1, -144,9
1603,4, -147,9
1619,7, -152,7
1686,1, -181,7
1698,1, -183,0
1705,3, -187,7
1733,9, -202,7
1772,7, -219,8
1846,5, -238,5
1869,9, -237,8
1879,9, -237,3
1836,0, -234,5
3078,6, -50,5
2572,9, 100,2
2262,6, 143,0
2087,3, 121,9
1138,7, -12,9
1047,1, -24,2
857,7, 2,0
701,2, 17,0
329,1, -98,5
324,0, -5,6
336,7, -154,0
261,0, -47,5
70,2, -4,5
-63,1, -45,8
-63,1, -45,8
-667,2, -194,9
-635,2, -189,9
-652,4, -191,0
-614,2, -156,1
-623,4, -176,9
-628,0, -174,3
-612,0, -167,2
-625,3, -174,0
-597,4, -152,7
-558,1, -134,0
-533,7, -118,8
-568,7, -135,9
-587,2, -138,0
-578,4, -134,4
-582,0, -154,8
-557,1, -150,2
-569,0, -154,3
-607,2, -168,0
-593,1, -140,2
73,9, 836,3
147,6, 896,8
254,9, 995,8
234,0, 1029,1
255,8, 1064,5
242,3, 1073,9
243,6, 1068,8
572,5, 1205,4
605,9, 1217,0
561,7, 1210,5
603,8, 1220,7
478,2, 1182,2
464,0, 1174,6
353,1, 1142,2
448,2, 1170,6
448,0, 1176,1
251,0, 1107,5
314,9, 1129,6
375,1, 1151,7
255,0, 1106,8
309,5, 1124,7
392,9, 997,7
466,3, 962,4
481,5, 966,7
463,5, 896,3
467,8, 995,2
501,4, 1011,3
526,4, 922,5
557,9, 854,4
454,9, 737,4
469,8, 748,9
537,3, 755,3
470,6, 708,5
485,6, 712,7
442,0, 684,9
385,1, 652,9
348,5, 633,3
339,9, 629,0
354,7, 642,1
358,2, 646,6
358,4, 650,1
375,9, 663,4
384,6, 673,2
371,6, 678,3
-257,8, 717,0
-197,3, 751,3
-193,8, 746,8
-218,9, 732,5
-237,7, 725,6
-227,5, 715,6
-261,3, 682,1
-249,9, 649,4
-346,1, 580,9
-385,0, 533,9
-381,2, 525,0
-382,2, 523,2
-405,6, 490,6
-453,9, 482,4
-420,6, 492,2
-370,1, 493,8
-390,7, 440,7
-466,0, 393,1
-490,8, 382,5
-478,3, 386,5
-478,9, 388,4
-478,3, 388,7
-477,3, 386,7
-473,4, 381,8
-471,6, 379,6
-461,4, 387,3
-431,1, 412,6
-422,1, 419,4
-379,7, 505,0
-347,2, 526,6
-371,1, 514,2
-382,4, 508,5
-459,8, 472,3
-426,8, 483,7
-460,7, 459,0
-192,5, 595,3
-154,3, 604,4
-150,7, 635,0
-137,1, 611,8
-139,0, 623,8
-143,3, 622,2
-167,3, 599,6
-158,5, 601,3
-142,7, 615,0
-145,4, 612,8
-156,1, 605,9
-160,4, 603,0
-122,6, 614,1
-88,0, 624,8
-131,4, 616,0
-165,6, 594,4
-178,4, 587,8
-170,6, 577,6
-166,7, 576,8
-187,6, 574,7
-185,1, 574,0
-179,8, 574,5
-2,7, 605,1
74,5, 891,9
79,7, 905,2
209,9, 668,9
186,5, 725,4
153,4, 740,4
30,9, 802,7
-91,9, 878,5
-158,6, 859,8
-159,2, 857,9
-159,8, 839,6
-151,9, 862,9
-147,5, 863,0
-147,7, 862,6
-148,8, 866,6
-152,4, 871,5
-151,0, 866,0
-166,1, 863,6
-162,1, 862,9
-155,2, 858,8
-140,1, 855,7
-194,3, 799,5
-221,9, 704,9
-156,0, 525,9
-148,9, 465,8
-143,8, 463,4
-174,2, 452,7
-198,6, 444,4
-164,3, 459,0
-163,0, 443,4
-128,6, 456,4
-120,3, 458,5
-128,6, 454,1
-150,6, 473,5
-143,2, 473,5
-146,0, 471,0
-130,3, 472,8
-119,5, 474,4
-88,7, 479,0
-105,6, 471,1
-210,9, 435,7
-187,9, 442,3
-199,1, 441,3
-189,1, 443,7
-227,9, 431,2
-270,1, 419,3
-238,6, 436,1
-256,5, 447,4
-225,3, 456,2
-203,9, 462,9
-231,2, 444,0
-219,1, 448,1
-223,2, 448,1
-218,3, 426,1
-182,9, 433,6
-202,3, 433,6
-196,6, 434,8
-264,4, 419,2
-242,8, 426,1
124,7, 476,5
76,4, 457,3
490,9, 478,3
515,5, 507,5
490,8, 481,0
475,7, 465,8
472,5, 459,2
429,4, 414,5
414,6, 394,1
489,3, 414,3
508,8, 412,2
580,4, 406,3
773,1, 410,7
1024,6, 413,0
1139,9, 373,8
1225,3, 297,1
1289,1, 283,0
1287,0, 235,2
1304,1, -7,5
1301,9, 1,6
1304,4, -30,5
1316,2, -125,0
1326,0, -131,3
1370,2, -134,4
1383,4, -141,2
1384,5, -159,8
1388,9, -168,1
1401,5, -186,8
1426,3, -200,9
1416,7, -197,3
1452,8, -205,0
1463,6, -209,7
1477,0, -214,2
1488,1, -223,7
1494,0, -225,8
1507,1, -237,9
1517,5, -238,7
1520,7, -241,3
1520,4, -243,3
1520,5, -244,0
1521,5, -242,6
1524,1, -239,7
1544,7, -234,1
-26,9, -23,7
-26,9, -23,7
-56,6, -55,4
-60,3, -59,4
-59,6, -59,5
-58,8, -59,0
-57,3, -57,8
-20,8, -38,7
-21,1, -39,0
-13,8, -34,4
-43,2, -56,1
-48,0, -59,4
-76,8, -68,0
-94,1, -67,0
-118,5, -62,1
-194,2, -61,1
-169,3, -61,0
-130,1, -53,8
-79,5, -48,8
-66,7, -37,5
-93,6, 28,2
-21,4, 48,6
-13,9, 56,7
18,3, 94,0
37,7, 106,9
86,2, 167,0
113,7, 187,6
169,3, 249,4
201,4, 236,7
206,8, 248,2
221,2, 281,8
232,4, 261,6
243,3, 286,1
246,1, 283,0
265,6, 312,1
281,8, 332,5
307,2, 331,9
301,8, 342,2
306,1, 359,5
320,5, 350,1
322,4, 373,4
321,8, 382,8
306,8, 357,8
300,4, 345,8
299,4, 343,3
290,7, 324,3
294,7, 335,1
291,3, 316,9
294,1, 326,6
293,4, 326,5
284,4, 296,7
285,1, 369,4
200,3, 297,4
-150,0, 291,3
-337,3, 256,9
-315,5, 262,8
-278,7, 267,6
-294,7, 254,6
-283,7, 262,8
-301,2, 244,7
-344,6, 230,6
-564,0, 250,7
-564,0, 250,7
-553,1, 251,8
-452,0, 261,8
-412,2, 290,5
-344,4, 367,8
-265,0, 443,2
-263,5, 445,5
-264,1, 448,6
-273,1, 441,2
-212,1, 479,7
-220,9, 476,8
-227,6, 470,2
-230,2, 474,2
-234,8, 470,1
-285,7, 474,2
-289,3, 468,5
-303,5, 449,8
-287,1, 457,3
-296,6, 453,2
-315,4, 445,0
-317,9, 444,5
-318,8, 444,4
-311,0, 453,0
-310,4, 452,9
-310,6, 455,0
-312,5, 453,9
-293,7, 455,8
-296,9, 453,8
-287,0, 455,7
-325,3, 446,8
-329,2, 446,7
-332,5, 446,4
-337,4, 445,7
-346,7, 442,4
-329,6, 446,9
-266,5, 459,7
-272,6, 454,6
-277,0, 459,7
-274,5, 460,4
-275,5, 461,3
-276,6, 463,9
-276,4, 463,4
-276,3, 461,2
-180,0, 439,2
781,3, 232,3
929,2, 164,6
1040,1, 111,7
1087,6, 66,1
1108,9, 22,0
1147,5, -71,1
1150,9, -117,6
1177,2, -153,6
1191,7, -169,1
1272,3, -189,4
1246,3, -183,4
1355,9, -148,9
1402,6, -146,7
1504,3, -118,4
1489,4, -126,8
1489,5, -128,1
1510,6, -134,4
1513,2, -143,6
1533,7, -154,4
1541,8, -167,6
1545,9, -171,4
1551,2, -179,4
1556,4, -184,0
1561,5, -188,8
1559,6, -192,5
1556,7, -198,9
-107,4, 104,7
-160,2, 77,2
-140,1, 91,1
-134,5, 93,4
-100,0, 110,5
-116,7, 101,2
-172,2, 60,1
-347,4, 96,0
-400,5, 134,2
-374,1, 353,4
-337,2, 446,1
-330,4, 447,0
-330,4, 447,0
-325,8, 449,6
-342,5, 411,9
-344,2, 403,3
-254,7, 467,3
-198,8, 499,8
-168,4, 515,5
-129,1, 542,4
-114,6, 554,9
-126,2, 552,9
-126,1, 556,2
-174,6, 510,5
-174,8, 510,8
-171,0, 523,2
-167,1, 544,9
-162,1, 543,3
-115,9, 535,0
-111,1, 535,4
-110,6, 535,6
-111,6, 543,9
-108,4, 550,6
-107,2, 551,7
-106,7, 549,4
-100,9, 541,0
-127,9, 589,4
-139,6, 610,3
-139,6, 610,3
-16,3, 615,4
-16,1, 595,6
-16,1, 595,6
81,8, 614,9
82,1, 614,1
78,8, 612,5
78,6, 612,4
46,4, 624,0
31,0, 624,6
28,1, 620,9
27,9, 619,9
-56,2, 582,2
-57,2, 578,0
-86,5, 562,0
-91,1, 567,6
