Listening for gaze data, press any key to exit...
281,2, -108,4
272,2, -116,4
259,2, -132,3
663,9, 331,4
676,5, 347,4
853,8, 477,8
834,7, 467,3
691,0, 414,0
807,2, 458,2
743,5, 422,4
615,4, 358,6
650,7, 378,9
660,7, 381,1
688,4, 410,4
695,0, 415,3
701,0, 428,4
711,3, 450,6
727,2, 452,3
718,1, 450,9
678,4, 347,5
674,8, 353,0
673,8, 360,7
666,1, 363,5
647,1, 355,8
646,2, 348,6
627,6, 332,4
767,4, 330,5
754,3, 301,1
904,9, 326,9
1191,9, 386,7
1467,8, 416,3
1456,9, 405,8
1451,5, 401,7
1463,3, 405,5
1445,7, 388,1
1450,2, 388,0
1458,9, 351,1
1461,8, 372,9
1466,5, 398,6
1464,3, 410,6
1431,0, 445,2
1430,6, 449,7
1718,9, 1142,7
1692,1, 1279,3
1648,6, 1540,2
1613,5, 1820,8
1596,6, 2219,5
1583,3, 2504,5
1571,8, 2627,0
1565,0, 2834,3
1564,1, 2852,5
1531,3, 3053,1
1529,2, 3052,2
1515,3, 3006,8
1530,1, 2960,6
1549,8, 2963,1
1551,1, 2963,2
1504,6, 2938,7
1488,1, 2932,7
2472,7, -193,4
2472,7, -193,4
2246,6, 516,7
2118,9, 770,1
2065,5, 803,6
1811,6, 684,2
1783,3, 648,7
1763,0, 626,0
1755,4, 601,8
1690,4, 442,1
1697,2, 470,3
1662,9, 286,9
1661,4, 258,3
1676,4, 241,5
1680,7, 204,7
1682,2, 192,1
1675,6, 193,8
1662,6, 193,7
1650,6, 217,0
1639,7, 216,1
1265,8, 195,5
824,3, 173,7
939,9, 182,2
714,4, 191,0
712,5, 192,1
683,3, 188,5
607,0, 166,7
562,5, 167,3
553,1, 156,2
550,4, 157,2
548,0, 154,8
541,5, 149,4
528,9, 147,2
479,9, 164,5
465,7, 173,0
466,9, 188,8
464,6, 177,5
440,4, 177,3
451,6, 190,7
405,3, 140,8
416,5, 158,3
427,0, 171,9
409,9, 148,5
431,2, 189,2
490,7, 249,7
484,9, 236,5
571,7, 335,8
826,2, 631,9
871,0, 694,7
1014,6, 886,5
1226,4, 1083,4
1342,2, 1238,3
1325,2, 1249,8
1316,6, 1294,4
1334,1, 1295,9
1339,7, 1305,2
1336,2, 1277,1
1339,5, 1279,1
1325,0, 1313,1
1328,4, 1309,9
1337,0, 1331,9
1396,4, 1384,8
1734,0, 1792,8
1859,5, 1995,0
1886,7, 1997,3
2023,1, 2192,6
1995,3, 2150,2
2431,9, 2753,1
2696,6, 3042,7
2679,4, 3031,4
2596,7, 2987,7
2557,2, 2975,1
2549,6, 2992,7
2523,8, 2985,8
2552,0, 2992,4
2545,9, 3003,1
2521,1, 2975,2
2529,1, 2961,7
2548,8, 2964,0
2559,5, 2967,4
2628,1, 2978,7
2620,5, 2975,4
2628,1, 2975,9
2638,9, 2987,0
2654,1, 3001,5
2709,7, 3100,9
2668,9, 3033,5
2688,3, 3059,4
2658,9, 2923,5
2571,3, 2764,8
2390,1, 2407,2
2342,4, 2227,9
1997,6, 1514,5
1971,2, 1418,5
1852,6, 1074,8
1821,0, 690,5
1744,0, 554,5
1752,3, 513,3
1758,5, 493,2
1755,2, 515,9
1752,7, 521,8
1754,7, 513,4
1752,9, 514,4
1766,5, 533,1
1764,7, 531,5
1764,2, 504,5
1762,3, 480,0
1785,4, 340,3
1787,3, 331,5
1784,9, 361,2
1788,2, 366,9
1820,8, 281,4
1822,7, 280,5
1796,7, 279,2
1793,5, 294,5
1785,1, 299,0
1787,6, 297,3
1788,0, 294,5
1789,1, 297,3
1807,9, 289,9
1821,1, 292,1
1822,6, 283,0
1823,4, 282,0
1835,8, 278,0
1842,4, 268,6
1824,8, 273,4
1818,0, 276,7
1814,2, 273,2
1814,0, 271,5
1812,3, 272,9
1818,2, 264,3
1827,4, 251,5
1820,8, 246,4
1821,4, 244,5
1822,3, 231,9
1821,9, 234,6
1830,8, 239,5
1831,5, 237,9
1830,9, 243,8
1832,1, 243,0
1828,7, 231,1
1825,1, 245,3
1796,4, 223,1
1803,1, 238,6
1804,3, 241,1
1812,1, 246,9
1818,7, 247,7
1825,9, 249,1
1826,1, 249,2
1825,7, 249,6
1829,5, 254,8
1743,4, 263,9
1750,8, 306,9
1734,1, 296,4
1748,7, 301,8
1757,3, 281,3
1774,5, 278,8
1786,2, 282,9
1789,8, 283,2
1800,3, 284,9
1794,2, 272,1
1798,8, 267,8
1802,5, 258,7
1802,9, 259,2
1804,9, 257,5
1815,7, 249,5
1820,7, 247,3
1818,8, 248,7
1818,2, 249,7
1814,6, 252,2
1803,4, 257,1
1805,4, 257,8
1803,5, 261,6
1802,9, 262,7
1796,3, 265,1
1797,7, 255,0
1800,0, 252,3
1813,4, 241,4
1808,2, 246,6
1812,9, 243,9
1815,2, 243,0
1812,8, 241,0
1811,4, 233,3
1810,4, 238,1
1805,7, 230,2
1806,9, 232,2
1805,6, 241,5
1803,5, 248,2
1820,6, 296,1
2110,1, 1072,7
2235,7, 1465,2
2290,6, 1723,8
2325,5, 1850,1
2520,3, 2551,7
2585,3, 2824,1
2581,3, 2792,3
2580,3, 2790,1
2609,7, 2930,8
2539,9, 2884,0
2569,5, 2921,9
2550,3, 2891,3
2535,9, 2882,8
2556,7, 2912,0
2571,9, 2925,3
2573,5, 2951,8
2568,5, 2948,9
2599,7, 2989,0
2574,9, 2985,3
2561,6, 2991,1
2604,8, 2977,7
2565,8, 2985,9
2620,0, 2999,2
2591,3, 3010,9
2571,6, 3021,3
2641,3, 3066,7
2598,5, 3069,5
2628,0, 3093,4
2750,9, 3122,0
2716,9, 3117,5
2767,3, 3125,0
2835,0, 3138,2
2791,3, 3094,5
2789,6, 3091,8
2662,3, 2956,5
2341,6, 2595,5
2047,1, 2190,2
1383,3, 1496,5
1238,8, 1292,6
538,5, 660,9
-342,4, 207,4
-148,7, 370,2
-115,8, 390,3
-91,7, 404,8
-66,0, 404,0
-71,4, 403,1
71,9, 344,6
388,5, 263,7
347,4, 260,3
381,2, 240,1
524,6, 203,0
558,9, 191,2
586,1, 118,4
601,0, 107,1
586,8, 77,0
596,1, 35,7
609,6, 4,2
666,0, -48,3
696,1, -68,1
701,9, -73,5
733,0, -73,9
772,6, -77,3
810,7, -84,5
837,1, -95,1
881,9, -103,8
896,5, -105,2
926,1, -109,9
941,5, -114,3
962,1, -115,3
1044,1, -96,4
1053,1, -94,5
1357,5, 242,4
1494,2, 431,9
1580,8, 531,4
1595,3, 527,2
1602,6, 527,6
1610,5, 532,3
1640,2, 529,6
1649,0, 535,4
1659,0, 531,4
1655,1, 527,0
1660,1, 483,6
1660,0, 459,2
1661,5, 442,3
1661,8, 440,0
1662,5, 440,9
1672,1, 439,4
1689,3, 417,5
1698,5, 414,8
1695,5, 420,7
1778,6, 432,1
1839,8, 441,2
2276,0, 435,4
2516,6, 421,4
2607,1, 417,8
2669,9, 419,8
2782,4, 446,6
2815,4, 414,9
2808,4, 422,5
2774,9, 460,1
2771,7, 466,6
2734,8, 535,2
2735,5, 529,4
2745,1, 519,5
2742,1, 547,8
2741,1, 542,9
2741,4, 541,8
2745,8, 542,4
2747,5, 551,2
2751,1, 550,8
2751,9, 549,5
2755,9, 559,7
2757,7, 565,0
2759,5, 569,9
2762,2, 567,2
2764,5, 567,5
2772,0, 562,5
2774,8, 560,0
2776,3, 561,9
2777,9, 570,8
2785,0, 581,4
2784,3, 597,6
2773,9, 599,6
2698,2, 615,0
2314,5, 604,6
2083,0, 615,3
1186,0, 682,8
678,0, 635,4
435,6, 591,6
376,8, 579,0
-182,0, 561,4
-277,9, 568,4
-491,4, 576,8
-505,3, 576,9
-526,2, 576,8
-53,9, 639,7
-223,6, 618,4
-502,5, 580,7
-104,4, 733,4
1213,1, 1239,3
1174,6, 1224,4
-512,9, 586,4
-513,1, 590,9
-463,4, 563,4
-373,3, 565,6
-361,0, 579,3
-297,3, 601,4
-298,5, 604,9
-331,8, 628,6
-317,5, 633,8
-307,1, 635,9
-246,6, 619,8
-224,8, 650,1
-110,8, 687,3
-179,7, 681,8
-121,4, 697,1
-139,9, 699,9
-191,6, 700,3
-136,5, 705,8
-226,3, 690,4
