Listening for gaze data, press any key to exit...
689,4, 461,7
692,5, 423,3
689,6, 423,6
691,5, 433,0
693,1, 456,1
683,7, 454,6
680,6, 462,5
681,8, 478,4
675,1, 461,6
670,7, 470,4
668,9, 458,5
658,5, 458,5
657,9, 441,5
654,9, 448,4
658,6, 436,0
666,2, 479,0
667,4, 461,1
670,8, 461,6
649,3, 472,3
626,1, 462,7
600,3, 478,2
597,5, 480,1
619,5, 512,4
614,7, 523,5
626,5, 541,3
639,5, 552,6
652,1, 559,0
672,9, 578,7
690,5, 583,6
686,2, 584,1
682,5, 590,1
677,5, 596,7
672,7, 582,1
667,2, 565,1
657,4, 546,9
653,2, 557,4
642,0, 548,3
631,8, 540,2
629,0, 535,4
621,6, 527,0
605,4, 509,1
585,2, 497,2
588,4, 499,5
584,7, 497,1
591,7, 502,1
593,4, 507,2
589,9, 504,1
580,8, 486,0
589,4, 504,3
583,4, 488,3
588,7, 481,5
570,2, 487,0
575,5, 494,9
569,1, 483,7
550,9, 495,1
563,8, 484,3
564,9, 482,2
564,1, 453,4
561,6, 445,0
564,4, 471,3
566,5, 462,9
585,4, 491,0
582,2, 474,6
579,4, 455,8
518,0, 458,3
499,6, 458,5
506,6, 462,4
561,7, 470,2
576,1, 514,8
579,6, 522,7
623,0, 520,8
613,6, 542,0
624,1, 547,1
644,0, 555,4
628,6, 562,8
630,9, 562,5
674,0, 641,6
675,5, 632,7
705,0, 642,2
772,5, 709,7
784,5, 707,5
799,3, 701,7
836,7, 707,3
856,5, 708,0
886,4, 707,4
910,8, 707,2
922,5, 708,9
919,6, 704,7
910,6, 700,1
892,3, 690,4
878,7, 678,6
832,1, 637,1
806,4, 598,4
798,3, 590,9
803,8, 598,8
770,1, 563,8
743,0, 536,6
742,3, 538,6
739,6, 534,2
723,7, 512,7
730,8, 525,0
726,2, 517,0
727,6, 522,8
691,5, 535,9
667,4, 539,1
578,1, 494,0
504,3, 478,4
461,9, 447,8
406,4, 362,1
401,4, 359,6
400,8, 369,5
392,1, 366,7
349,2, 353,3
340,6, 347,1
478,0, 462,6
479,0, 450,8
472,1, 521,1
439,6, 626,9
438,8, 647,5
418,0, 675,1
405,1, 710,2
406,3, 709,0
391,3, 674,9
399,6, 689,7
394,8, 679,1
390,0, 668,7
396,7, 671,4
433,9, 662,6
430,5, 685,1
479,5, 581,7
483,0, 499,6
476,5, 488,4
495,4, 501,3
499,9, 469,3
516,4, 501,8
539,9, 509,6
552,6, 515,3
578,6, 576,5
573,6, 554,5
575,9, 561,0
575,8, 546,3
585,5, 542,4
571,0, 507,4
567,4, 523,9
561,2, 481,8
568,9, 516,3
564,6, 540,9
568,6, 552,3
556,9, 572,0
566,9, 673,6
563,9, 671,9
556,2, 663,9
501,4, 626,1
521,8, 640,2
529,3, 635,6
531,5, 618,6
543,2, 621,0
534,0, 556,8
543,4, 627,8
536,5, 601,5
532,3, 591,8
516,3, 571,5
519,8, 583,2
519,5, 570,5
537,4, 560,8
568,5, 546,3
540,7, 504,3
550,8, 541,8
550,9, 528,7
550,7, 527,3
555,7, 524,3
561,9, 528,4
566,0, 572,6
568,0, 571,1
594,8, 580,7
622,1, 628,3
624,4, 636,7
617,1, 618,1
621,6, 612,7
627,0, 619,4
632,7, 622,4
630,5, 618,7
609,2, 569,0
609,0, 570,4
628,8, 616,7
638,8, 640,0
638,1, 634,6
638,9, 630,5
633,3, 633,6
634,5, 630,1
634,4, 619,0
621,9, 601,5
631,6, 580,8
635,7, 591,5
644,1, 603,9
652,3, 623,5
644,3, 611,9
641,0, 609,8
624,1, 593,7
585,3, 563,3
561,7, 557,6
540,5, 543,8
524,1, 529,1
537,2, 526,6
538,8, 528,9
542,8, 552,5
567,4, 578,3
559,6, 574,8
573,1, 623,6
576,5, 632,4
577,4, 637,8
578,9, 658,7
572,1, 628,7
578,0, 664,8
566,7, 636,6
565,7, 628,8
554,5, 593,6
560,5, 608,2
549,2, 568,9
423,1, 679,8
236,1, 790,7
207,1, 824,8
-163,6, 1492,0
-215,3, 1593,1
-267,3, 1702,2
-36,4, 1706,9
-81,2, 1708,1
239,3, 1708,7
296,5, 1693,2
322,2, 1630,0
349,8, 1547,4
316,8, 1649,8
339,1, 1506,1
315,5, 1501,2
317,5, 1497,6
318,8, 1496,8
322,0, 1494,1
318,4, 1493,6
292,8, 1493,4
277,2, 1493,7
629,8, 693,6
608,6, 611,8
615,7, 619,6
597,4, 600,0
573,1, 520,6
541,9, 502,2
529,7, 472,4
522,8, 487,3
528,8, 496,7
535,5, 482,4
544,5, 473,1
560,7, 518,6
565,8, 519,5
591,8, 554,3
591,2, 561,3
475,0, 573,6
494,8, 541,5
500,4, 544,1
501,3, 543,9
500,1, 541,3
500,4, 552,0
510,6, 594,9
492,5, 582,4
